,Dijkstra,,,Dijkstra Heap,,,OSMNX,,
BAIRRO,Distância,Tempo de Execução,Emissões de Carbono,Distância,Tempo de Execução,Emissões de Carbono,Distância,Tempo de Execução,Emissões de Carbono
Alecrim,3084.259098329603,39.08872032165527,0.0024659732034260353,3084.259098329603,0.35724854469299316,1.4794040153978002e-05,3084,0.17055678367614746,1.667515641441236e-05
Felipe Camarão,7168.481655558125,36.805949449539185,0.0024659732034260353,7168.481655558125,0.22010493278503418,1.4794040153978002e-05,7168,0.16532182693481445,1.667515641441236e-05
Nossa senhora da Apresentação,17774.807826143184,36.98777723312378,0.0024659732034260353,17774.807826143184,0.20912528038024902,1.4794040153978002e-05,17774,0.25274229049682617,1.667515641441236e-05
Pajuçara,12516.130398960137,37.94466519355774,0.0024659732034260353,12516.130398960137,0.20382475852966309,1.4794040153978002e-05,12516,0.23739290237426758,1.667515641441236e-05
Potengi,14383.948771973211,36.417701721191406,0.0024659732034260353,14383.948771973211,0.20729804039001465,1.4794040153978002e-05,14383,0.27240824699401855,1.667515641441236e-05
Planalto,9985.191314581181,36.08858251571655,0.0024659732034260353,9985.191314581181,0.20165729522705078,1.4794040153978002e-05,9985,0.18757033348083496,1.667515641441236e-05
Lagoa Nova,2328.8831861577773,39.24237942695618,0.0024659732034260353,2328.8831861577773,0.21772146224975586,1.4794040153978002e-05,2328,0.12704086303710938,1.667515641441236e-05
Ponta Negra,9607.591044462335,36.37229013442993,0.0024659732034260353,9607.591044462335,0.2109508514404297,1.4794040153978002e-05,9607,0.15081548690795898,1.667515641441236e-05
Lagoa Azul,15928.232579234797,37.88545608520508,0.0024659732034260353,15928.232579234797,0.20350027084350586,1.4794040153978002e-05,15928,0.589958906173706,1.667515641441236e-05
Candelária,5400.334074371881,37.52987313270569,0.0024659732034260353,5400.334074371881,0.200758695602417,1.4794040153978002e-05,5400,0.13351941108703613,1.667515641441236e-05
